Year,Road traffic death rate,Country Code,GDP,Suicide rate,Deaths,Country,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
2015,13.9,ARG,594749.285413212,8.1,7.543,Argentina,0.197978011209,0.772567540584,0.397997794006,6.27853822935,0.987998388805,3.65768313834,1.82217228159999,98.08997,43257064,742635.0,3676189,10697132,17723720
2014,13.4,ARG,526319.673731638,9.16,7.447,Argentina,0.197891957196,0.77217546317,0.39486655622,6.27601987145,0.979328607305,3.65417821908,1.82308007686,98.03402,42824064,740933.0,3654962,10659314,17667904
2001,11.6,ARG,268696.75,10.3074,7.549,Argentina,0.196426581121999,0.764884567581,0.36530388759,6.22515528292,0.908681378952999,3.6588391036,2.26430423452,97.19331,37480492,703470.0,3514878,10480856,16990728
2017,16.4,ARM,11527.4587090158,2.43,9.664,Armenia,0.197364768091,0.717591362749,0.167047141359999,2.59281282375,0.504359711666,2.75458269616,1.96498793982999,99.73607,2851929,39928.0,210913,572368,956070
2016,15.7,ARM,10546.1362355219,4.43,9.634,Armenia,0.196949497263,0.717165523177,0.166348087709,2.59121933021,0.499895098087,2.74731516173,1.97435552088,99.74441,2865841,41565.0,213128,569148,982635
2015,16.7,ARM,10553.337518414,4.7,9.607,Armenia,0.196524584881,0.716773574664,0.164967954278,2.58991669319999,0.496236098174,2.74028903349,1.98119330109,99.76842,2878598,43644.0,212175,564923,1010133
2011,17.7,ARM,10142.1118245835,5.74,9.559,Armenia,0.194914864944,0.715653965384,0.157349929344,2.58768330595,0.479966736687,2.71809283915,1.99083582856999,99.74441,2928984,40651.0,193655,559867,1109105
2001,19.5,ARM,2118.46791337873,3.07,8.344,Armenia,0.189542994764,0.713486787521,0.122517344472,2.58721496032,0.446003890508,2.65792040974,2.05101308622,99.40016,3133138,38212.0,207260,813135,1351870
2003,8.5,AUS,467739.07979033195,9.61,6.6,Australia,0.366273757512,1.14815791486,0.850375776569,6.5784891315,2.21574230461,4.89231683879,1.4863468759,99.0,19699004,249525.0,1268807,3968854,6678111
2011,6.4,AUT,431685.217367511,12.2841,9.1,Austria,0.256221452922999,0.939936203634,0.669634514923,5.35175981982,0.913810896089,3.28490453608,1.9502633993,98.0,8391201,77886.0,393455,1229284,2247355
2017,8.5,AZE,40866.6273519817,3.91,5.8,Azerbaijan,0.199997827826,0.689806923974,0.204891197681,2.5831567362,0.486327895182999,2.59229296217,2.30588905326,99.79123,10071569,157012.0,887662,2480021,3974067
2016,8.7,AZE,37866.9968829157,3.92,5.8,Azerbaijan,0.199563484821,0.689448106301,0.203629418689,2.58127802475,0.484388080694,2.5809513275,2.31467857925999,99.79006,9976254,174337.0,916468,2451675,4003588
2015,10.3,AZE,53076.235354746,3.99,5.7,Azerbaijan,0.199034390034,0.6890493751,0.201757629480999,2.57943157677,0.481362300023,2.57122617604,2.31949277277,99.78806,9863485,183497.0,923257,2407779,4020263
2014,13.2,AZE,75239.78545210221,4.1,5.8,Azerbaijan,0.198426234238,0.688604159199,0.199311675356,2.57745382385,0.478852856611,2.5625707815,2.32112414981,99.78899,9741879,187863.0,916110,2358656,4031090
2013,13.8,AZE,74160.5601236902,4.19,5.8,Azerbaijan,0.197754019283,0.688119632189,0.195770332571,2.57540985688,0.475546619342,2.55789857878,2.31999040917,99.78936,9614478,188423.0,900338,2308959,4038717
2012,14.0,AZE,69679.9445041972,4.31,5.9,Azerbaijan,0.19703755795,0.687630434064,0.191979092842,2.57360252268,0.47184190746,2.5515679328,2.31650142252,99.77577,9485577,186248.0,878439,2263495,4045476
2011,12.4,AZE,65952.79642794731,4.44,5.9,Azerbaijan,0.196291485331,0.687136329219,0.187695759648,2.57203058430999,0.469026967604,2.54713760754,2.31137734936,99.77863,9359018,181536.0,852069,2228368,4052771
2010,11.4,AZE,52909.2947919262,4.53,5.9,Azerbaijan,0.195532453828,0.686651493411,0.183138049836,2.57072001515,0.465736846746999,2.54241236382,2.30525476378,99.77114,9237203,176746.0,823283,2208226,4061180
2009,11.6,AZE,44292.42718494921,4.64,5.9,Azerbaijan,0.194474616728,0.685974456709,0.176675314154,2.56887801113,0.46167244859,2.54403627878,2.28948886063999,99.75984,9119630,172527.0,791741,2202364,4069399
2007,13.7,AZE,33049.4194312244,5.0,6.3,Azerbaijan,0.19146803216,0.684059673747,0.157216216654,2.56323631763,0.450855283303,2.54878992849,2.22600834145,99.59319,8878408,161196.0,720338,2217823,4057489
2015,7.5,BHR,31050.638297872298,6.32,2.109,Bahrain,0.206881726734,0.836180039229,0.268744996581,4.65292283415,1.71520406788999,3.89251062234,0.732158624085,95.71726,1362157,21471.0,102896,277460,465634
