Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
Ukraine,2014,99.75347,212,13.7,20.3935,14.7,EUR,UKR,133503.87186172302,45.14807,0.494325,2.501033,6.753207,11.957724
Ukraine,2015,99.76411,188,12.9,17.8746,14.9,EUR,UKR,91030.9677890717,44.98257,0.459938,2.45646,6.822735,11.765717
United Arab Emirates,2005,90.03385,91,18.7,6.76,1.563,EMR,ARE,180617.467964602,4.280995,0.061074,0.292199,0.813559,1.611768
United Arab Emirates,2015,92.98637,75,18.1,5.25,1.014,EMR,ARE,370275.469560166,8.916909,0.102817,0.522185,1.27671,2.863437
Uruguay,2006,97.78963,157,14.5,13.7935,9.206,AMR,URY,19741.420739890098,3.322282,0.049072,0.24712,0.775901,1.274856
Uruguay,2007,97.86389,165,14.4,15.7926,9.249,AMR,URY,23797.7730243992,3.328647,0.048401,0.244791,0.769628,1.270921
Uruguay,2008,98.16356,156,15.9,13.512,9.29,AMR,URY,31119.602538832198,3.336131,0.047912,0.242496,0.763096,1.267404
Uruguay,2009,98.26723,157,16.5,13.3725,9.332,AMR,URY,32708.3190775179,3.344161,0.047593,0.24066,0.755934,1.263989
Uruguay,2010,98.07271,156,17.1,14.2563,9.369,AMR,URY,41950.3612119581,3.352653,0.047417,0.238823,0.748144,1.260284
Uruguay,2011,98.3359,155,17.5,15.024,9.402,AMR,URY,50342.406067077696,3.361631,0.047364,0.237258,0.740543,1.256265
Uruguay,2012,98.39594,156,15.6,16.0975,9.434,AMR,URY,54232.2663587811,3.371134,0.047399,0.236375,0.733575,1.252596
Uruguay,2013,98.36387,155,17.3,14.1573,9.468,AMR,URY,61337.6219337857,3.381187,0.047511,0.236079,0.727726,1.248296
Uruguay,2014,98.43593,150,16.3,15.7673,9.508,AMR,URY,61496.186973902004,3.39166,0.047483,0.236068,0.722949,1.242559
Uruguay,2015,98.52387,149,15.3,16.6639,9.559,AMR,URY,57680.3279986689,3.40282,0.047699,0.236449,0.719411,1.237501
