,Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
304,Namibia,2001,0.171228973,0.626109906,0.169690679,3.476269306,0.755825113,3.46614432,1.716386687,84.94426,454,22.8,26.7353,13.129,AFR,NAM,3557.34121515159,1.856406,0.054507,0.264721,0.770552,1.146239
305,Namibia,2007,0.173612063,0.627863391,0.178455512,3.481829908,0.736822964,3.424845272,1.700076938,76.48659,409,21.5,23.7422,12.046,AFR,NAM,8839.53647599963,2.011492,0.056342,0.263953,0.77207,1.211586
306,Namibia,2011,0.174870606,0.629254144,0.187119323,3.486641179,0.763104219,3.380567438,1.703349015,88.27463,310,23.9,16.1368,10.861,AFR,NAM,12523.3594405499,2.132343,0.062965,0.289428,0.785193,1.264675
307,Namibia,2015,0.176419927,0.631214852,0.196153483,3.499314115,0.773144148,3.41768245,1.683855475,90.8205,296,32.0,16.2875,9.077,AFR,NAM,11335.1610835061,2.282709,0.067269,0.318648,0.8294,1.3187
308,Nepal,2001,0.245042647,0.576142517,0.105714025,3.768352932,0.494089517,3.693139762,1.370138016,48.60897,234,15.3,10.3906,7.949,SEAR,NPL,6007.05504217687,24.95607,0.71129,3.529683,10.080349,14.958122
309,Nepal,2011,0.244832464,0.580964673,0.117516951,3.835694697,0.492166114,3.739860714,1.500171956,59.62725,173,16.1,10.7315,6.891,SEAR,NPL,21573.8722738375,27.266398,0.595088,3.012176,9.688353,15.351895
310,Nepal,2015,0.245630855,0.58344167,0.124483781,3.864375727,0.497888209,3.672806664,1.518993399,64.66364,166,16.3,9.83,7.376,SEAR,NPL,24360.8013376944,27.610328,0.595241,2.939094,9.216522,15.05593
311,New Zealand,2003,0.339718117,1.197693311,0.640880469,8.966183453,2.156798101,4.126590443,1.450308644,99.0,81,12.2,12.9546,6.95,WPR,NZL,88250.88555026261,4.019944,0.056164,0.2824,0.8892,1.460468
312,Nicaragua,2000,0.194376432,0.7866847,0.181612362,2.867662321,0.602014028,2.878699309,2.089059645,66.0,197,16.3,6.28,5.547,AMR,NIC,5107.3290070922,5.123223,0.138585,0.6971,2.072323,3.202979
313,Nicaragua,2001,0.194689203,0.787697666,0.182412803,2.871568142,0.597278623,2.882230309,2.089098996,76.67713,195,16.0,6.21,5.615,AMR,NIC,5323.1465657031495,5.192765,0.137444,0.690895,2.069431,3.209758
314,Nicaragua,2005,0.196361879,0.792485144,0.187569397,2.890089386,0.570727497,2.895757115,2.070264845,78.00298,179,16.1,6.07,5.614,AMR,NIC,6321.32427914826,5.45468,0.134657,0.672379,2.042687,3.222397
315,Nicaragua,2015,0.199061517,0.798684722,0.200784013,2.911002286,0.586591305,2.853856237,2.061747156,82.61455,148,16.1,4.47,4.635,AMR,NIC,12756.6855224807,6.29861,0.141287,0.695953,2.022493,3.336038
316,Niger,2001,0.161919889,0.629621848,0.089748623,2.887164422,0.434726152,3.433042923,0.904912403,14.37604,292,28.1,9.78,16.912,AFR,NER,2448.71470396617,12.031431,0.579933,2.447515,5.701759,7.978833
317,Niger,2005,0.161854396,0.629995492,0.09004688,2.886830009,0.436634147,3.440265862,0.897786431,28.67242,285,27.5,10.1206,13.922,AFR,NER,4383.31596458718,13.855225,0.651784,2.828661,6.68415,9.244512
318,Niger,2012,0.162545652,0.629867316,0.091562189,2.880537546,0.449297927,3.441824301,0.908480739,30.56039,264,26.2,10.5799,9.718,AFR,NER,9426.91264759111,17.95441,0.802485,3.624011,8.831884,12.12677
319,Niger,2015,0.163211895,0.630628844,0.093965792,2.885208199,0.457064617,3.451298447,0.910142633,19.1026,257,26.1,10.3889,8.799,AFR,NER,9683.86792644282,20.128132,0.883787,4.008391,9.891588,13.661369
320,Nigeria,2003,0.173806416,0.637095689,0.123586708,2.836855398,0.444385097,4.066114616,0.904001697,54.77318,415,28.6,9.16,16.541,AFR,NGA,104738.954264226,133.11981,5.319786,23.530508,57.969016,84.15533
321,Nigeria,2006,0.17591585,0.638032129,0.133472066,2.848603386,0.445116981,4.07563268,0.908809845,70.19835,395,26.4,9.16,15.561,AFR,NGA,238454.99716148,144.32976,5.728011,25.750564,63.315548,90.99685
322,Nigeria,2008,0.177741394,0.639285026,0.141514744,2.875947373,0.447689917,4.157497395,0.936443276,51.07766,385,25.1,9.14,15.161,AFR,NGA,339476.276257793,152.38251,6.020478,27.201376,67.198104,95.9934
323,Nigeria,2015,0.181420763,0.643383865,0.160806633,2.914794176,0.457275789,4.071250673,0.964296769,59.56808,355,21.4,7.31,13.803,AFR,NGA,493026.68280063,183.99578,6.806717,31.790446,81.535384,116.09534
324,Norway,2011,0.211302283,0.856660735,0.570240667,7.615422071,0.894844312,3.589313053,1.431650734,100.0,66,3.5,11.8475,8.4,EUR,NOR,501360.549669404,4.953565,0.061065,0.309831,0.922757,1.571901
325,Oman,2003,0.199186196,0.786442842,0.247180964,4.67516868,1.360319461,3.47385173,0.653767483,81.36331,148,25.0,6.43,2.959,EMR,OMN,21633.7081924577,2.431603,0.054273,0.276781,0.851774,1.390405
