Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Deaths
United Arab Emirates,2015,92.98637,75,18.1 [15.4-20.7],5.25,0.21185454,0.804645806,0.259418455,4.235686278,2.985104671,2.859825078,0.760746066,1.014
United Arab Emirates,2015,92.98637,81,18.1 [15.4-20.7],5.25,0.21185454,0.804645806,0.259418455,4.235686278,2.985104671,2.859825078,0.760746066,1.014
Uruguay,2006,97.78963,118,14.5 [12.2-16.9],13.7935,0.196168011,0.776440511,0.34543553,6.269675039,0.925666551,3.484572034,1.032685137,9.206
Uruguay,2006,97.78963,157,14.5 [12.2-16.9],13.7935,0.196168011,0.776440511,0.34543553,6.269675039,0.925666551,3.484572034,1.032685137,9.206
Uruguay,2006,97.78963,80,14.5 [12.2-16.9],13.7935,0.196168011,0.776440511,0.34543553,6.269675039,0.925666551,3.484572034,1.032685137,9.206
Uruguay,2007,97.86389,124,14.4 [12.1-16.8],15.7926,0.196403456,0.776908232,0.348731351,6.274476054,0.934328089,3.494910986,1.059835568,9.249
Uruguay,2007,97.86389,165,14.4 [12.1-16.8],15.7926,0.196403456,0.776908232,0.348731351,6.274476054,0.934328089,3.494910986,1.059835568,9.249
Uruguay,2007,97.86389,85,14.4 [12.1-16.8],15.7926,0.196403456,0.776908232,0.348731351,6.274476054,0.934328089,3.494910986,1.059835568,9.249
Uruguay,2008,98.16356,119,15.9 [13.4-18.6],13.512,0.196687639,0.777436135,0.353480398,6.279515677,0.942012115,3.505361058,1.092823518,9.29
Uruguay,2008,98.16356,156,15.9 [13.4-18.6],13.512,0.196687639,0.777436135,0.353480398,6.279515677,0.942012115,3.505361058,1.092823518,9.29
Uruguay,2008,98.16356,82,15.9 [13.4-18.6],13.512,0.196687639,0.777436135,0.353480398,6.279515677,0.942012115,3.505361058,1.092823518,9.29
Uruguay,2009,98.26723,118,16.5 [13.9-19.3],13.3725,0.196967632,0.778004764,0.35911973,6.284727407,0.947733423,3.514906264,1.122794055,9.332
Uruguay,2009,98.26723,157,16.5 [13.9-19.3],13.3725,0.196967632,0.778004764,0.35911973,6.284727407,0.947733423,3.514906264,1.122794055,9.332
Uruguay,2009,98.26723,80,16.5 [13.9-19.3],13.3725,0.196967632,0.778004764,0.35911973,6.284727407,0.947733423,3.514906264,1.122794055,9.332
Uruguay,2010,98.07271,118,17.1 [14.4-20.1],14.2563,0.197160143,0.778441618,0.36375798,6.288983185,0.950791378,3.522625776,1.140925902,9.369
